                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.99505,                0.38143,                 0.5307,                0.68805,                 1.1899,                0.99739,                      1,                  0.995,                0.76521,                0.94123,                  0.925,                0.91579,                0.88968,                 1.0089,                0.55025,                0.27648,                0.56152,                 1.3091,               0.001241,               0.001241,               0.001241
                     49,                  1.013,                0.37261,                0.51391,                0.67359,                 1.1765,                0.99713,                      1,                  0.995,                0.76837,                 0.9445,                  0.925,                0.92177,                0.90765,                 1.0412,                0.60373,                0.28358,                0.61773,                 1.3345,              0.0012245,              0.0012245,              0.0012245
                     50,                0.99194,                 0.4026,                0.51112,                0.68451,                 1.1932,                0.99452,                      1,                  0.995,                0.76959,                0.92317,                  0.925,                0.91845,                0.90326,                0.97878,                0.63185,                0.30538,                0.55423,                 1.3125,               0.001208,               0.001208,               0.001208
                     51,                0.94886,                0.29113,                0.51866,                 0.6522,                 1.1542,                0.99701,                      1,                  0.995,                0.78644,                0.94214,                  0.925,                0.91784,                 0.8977,                 0.9556,                0.62615,                0.32478,                0.51592,                 1.2691,              0.0011915,              0.0011915,              0.0011915
                     52,                0.98987,                0.36612,                0.49172,                0.65732,                 1.1953,                0.99366,                      1,                  0.995,                0.81951,                0.94821,                0.91566,                0.91611,                0.89426,                0.87968,                 0.6436,                0.34473,                0.54204,                 1.1821,               0.001175,               0.001175,               0.001175
                     53,                0.97113,                0.44715,                0.49976,                 0.6635,                 1.1693,                0.99615,                      1,                  0.995,                 0.8483,                0.94766,                   0.95,                0.94109,                0.91108,                0.85698,                0.59404,                0.35434,                0.58314,                 1.1666,              0.0011585,              0.0011585,              0.0011585
                     54,                0.98329,                0.35144,                0.50009,                 0.6783,                 1.1868,                0.99665,                      1,                  0.995,                0.82509,                 0.9716,                  0.975,                0.96388,                0.96388,                0.83286,                0.33116,                0.35397,                0.55865,                 1.1774,               0.001142,               0.001142,               0.001142
                     55,                0.95405,                0.32698,                0.49623,                0.63368,                 1.2022,                0.99405,                      1,                  0.995,                0.82886,                 0.9692,                  0.975,                0.96485,                0.96373,                0.80991,                 0.2946,                0.35007,                0.57909,                 1.1517,              0.0011255,              0.0011255,              0.0011255
                     56,                 0.9977,                0.35301,                0.48332,                0.63545,                 1.1737,                0.99627,                      1,                  0.995,                0.83177,                0.97137,                  0.975,                0.96532,                0.96333,                0.80275,                0.29139,                0.32539,                0.50846,                 1.1357,               0.001109,               0.001109,               0.001109
                     57,                0.98403,                0.37734,                0.48932,                0.63566,                   1.19,                0.99643,                      1,                  0.995,                0.83444,                0.97152,                  0.975,                0.96542,                 0.9575,                0.81133,                0.28425,                0.28765,                0.46672,                 1.1386,              0.0010925,              0.0010925,              0.0010925
                     58,                0.95449,                0.33205,                0.45674,                0.60144,                 1.1318,                0.99751,                      1,                  0.995,                0.81384,                 0.9722,                  0.975,                0.96856,                0.95539,                0.80875,                0.25585,                0.20619,                0.47314,                 1.1494,               0.001076,               0.001076,               0.001076
                     59,                 0.9788,                0.32232,                0.45285,                0.67159,                 1.1926,                0.99753,                      1,                  0.995,                0.80886,                0.97213,                  0.975,                0.96332,                 0.9529,                0.79191,                0.25474,                0.18566,                0.46187,                 1.1515,              0.0010595,              0.0010595,              0.0010595
                     60,                  1.019,                0.29523,                0.48135,                0.65399,                 1.1966,                 0.9979,                      1,                  0.995,                0.81486,                 0.9729,                  0.975,                0.96221,                0.95367,                 0.7711,                0.26372,                0.18528,                0.45126,                  1.134,               0.001043,               0.001043,               0.001043
                     61,                 0.8936,                0.31947,                0.45118,                0.61609,                 1.1636,                0.99773,                      1,                  0.995,                0.82441,                0.97279,                  0.975,                0.95464,                0.95118,                0.76269,                0.27947,                0.19415,                0.45225,                 1.1193,              0.0010265,              0.0010265,              0.0010265
                     62,                0.97579,                0.31323,                0.43866,                0.63435,                 1.2035,                0.99841,                      1,                  0.995,                0.81542,                0.97345,                  0.975,                0.95839,                0.93972,                0.79156,                0.37088,                0.22305,                0.47716,                 1.1222,                0.00101,                0.00101,                0.00101
                     63,                0.93962,                0.31691,                0.43132,                0.60812,                 1.1559,                0.99795,                      1,                  0.995,                0.82827,                0.95868,                  0.925,                0.95415,                0.90236,                0.75831,                0.50585,                0.24759,                0.47281,                 1.1079,              0.0009935,              0.0009935,              0.0009935
                     64,                0.89327,                0.27476,                0.41321,                0.60778,                 1.1703,                0.99798,                      1,                  0.995,                0.84014,                  0.973,                   0.95,                0.95638,                0.92089,                0.73806,                0.45447,                0.24021,                 0.4713,                 1.0866,               0.000977,               0.000977,               0.000977
                     65,                0.92109,                 0.3986,                0.42417,                  0.592,                 1.1394,                0.99808,                      1,                  0.995,                0.82833,                0.97307,                  0.975,                0.96004,                0.93465,                0.75087,                0.47523,                0.23595,                0.45815,                  1.084,              0.0009605,              0.0009605,              0.0009605
                     66,                0.94276,                0.29336,                0.40704,                 0.6119,                 1.1734,                      1,                0.99963,                  0.995,                0.79423,                0.97499,                0.97478,                0.96192,                0.90853,                0.85075,                0.56558,                0.19841,                0.49902,                 1.1159,               0.000944,               0.000944,               0.000944
                     67,                 0.9432,                 0.3184,                0.41616,                0.61543,                 1.1581,                 0.9978,                      1,                  0.995,                0.77561,                0.97276,                  0.975,                0.96468,                0.92543,                0.92415,                 0.5124,                0.18622,                0.48391,                 1.2008,              0.0009275,              0.0009275,              0.0009275
                     68,                0.89554,                0.25589,                0.38973,                0.57672,                 1.1376,                 0.9977,                      1,                  0.995,                0.77366,                 0.9727,                  0.975,                 0.9645,                0.92735,                0.98248,                0.46893,                0.18467,                0.48131,                 1.2805,               0.000911,               0.000911,               0.000911
