                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.85071,                  0.308,                0.19969,                0.54854,                 1.1249,                0.99121,                0.93937,                0.99006,                 0.7799,                0.95156,                    0.9,                0.91642,                0.89094,                0.81586,                0.61404,                0.05435,                0.47694,                 1.1155,               0.001142,               0.001142,               0.001142
                     55,                0.86993,                0.24055,                0.18686,                0.55503,                 1.1278,                 0.9832,                0.97549,                 0.9941,                0.81123,                0.96409,                0.89487,                0.92309,                0.88433,                0.75593,                0.71394,                0.03009,                0.41362,                 1.0861,              0.0011255,              0.0011255,              0.0011255
                     56,                0.86175,                0.22275,                0.17178,                0.53744,                 1.1213,                0.98272,                0.94812,                0.99297,                0.82022,                 0.9396,                0.90739,                0.94651,                0.89673,                0.73602,                0.54487,                0.03688,                0.37664,                 1.0563,               0.001109,               0.001109,               0.001109
                     57,                0.87338,                0.27203,                0.19352,                0.54921,                 1.1349,                0.96587,                0.99167,                0.99401,                0.80744,                0.95119,                0.91667,                0.93547,                0.90442,                0.72693,                0.55133,                0.04446,                0.37247,                 1.0468,              0.0010925,              0.0010925,              0.0010925
                     58,                0.85612,                 0.2086,                0.16814,                0.53967,                 1.1219,                0.98203,                0.99167,                0.99458,                0.81879,                0.90751,                0.91667,                0.93531,                0.89989,                0.72884,                0.66158,                0.04493,                0.39021,                 1.0483,               0.001076,               0.001076,               0.001076
                     59,                0.85411,                0.29471,                0.17391,                0.52319,                 1.1252,                0.98077,                0.98333,                0.99409,                0.82858,                0.90795,                0.90833,                 0.9295,                0.90011,                   0.72,                0.60606,                0.02272,                0.39071,                 1.0495,              0.0010595,              0.0010595,              0.0010595
                     60,                   0.85,                0.23514,                0.17975,                0.52157,                 1.1201,                0.97383,                0.99167,                  0.994,                0.82208,                 0.9092,                  0.925,                0.93308,                0.90589,                0.73317,                0.58326,                0.03064,                0.37994,                 1.0494,               0.001043,               0.001043,               0.001043
                     61,                0.81755,                0.20196,                 0.1568,                0.50234,                 1.1004,                0.97536,                0.99167,                0.99416,                0.82766,                0.92426,                0.94167,                   0.96,                0.93985,                0.73771,                0.47328,                0.04566,                0.38084,                 1.0557,              0.0010265,              0.0010265,              0.0010265
                     62,                0.84873,                0.26387,                0.20752,                0.53999,                 1.1155,                0.98181,                0.99167,                0.99492,                0.83837,                0.93006,                0.94167,                0.95156,                0.93032,                0.69509,                0.51443,                0.02856,                0.36757,                 1.0388,                0.00101,                0.00101,                0.00101
                     63,                0.85133,                0.24758,                0.18294,                0.54231,                 1.1244,                0.99165,                0.98975,                0.99483,                0.83897,                 0.9411,                  0.925,                0.95308,                0.93321,                0.71186,                0.54089,                 0.0323,                 0.3713,                  1.041,              0.0009935,              0.0009935,              0.0009935
                     64,                0.84501,                0.21155,                0.15997,                  0.511,                 1.1055,                0.99085,                0.99167,                0.99408,                0.83245,                0.95036,                0.95736,                0.96706,                0.93142,                0.74021,                0.44706,                0.02611,                0.37347,                 1.0603,               0.000977,               0.000977,               0.000977
                     65,                0.83557,                0.22465,                0.17069,                0.52139,                 1.1199,                0.99164,                0.98886,                0.99425,                0.81105,                0.94151,                0.93905,                0.95376,                0.93169,                0.76417,                0.49518,                0.05178,                0.38233,                 1.0622,              0.0009605,              0.0009605,              0.0009605
                     66,                0.84509,                 0.2006,                0.15137,                0.53359,                 1.1139,                0.97314,                0.99167,                0.99374,                0.81767,                 0.9193,                0.94927,                0.95265,                0.92577,                0.73888,                0.52106,                0.03291,                0.38071,                 1.0607,               0.000944,               0.000944,               0.000944
